Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,67.4054184,..,..,..,..,..,..,..,..,..,..,..,..,66.03011322,..,..,..,..,..,..
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,72.19448853,..,..,..,..,..,..,..,..,..,..,..,..,77.43112946,..,..,..,..,..,..
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,121.2,117.9,114.2,110,105.4,100.6,95.6,90.5,85.3,80.5,75.9,71.4,67.3,63.7,60.5,57.8,55.6,53.5,51.9,50.2,..
Angola,AGO,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.952053372,..,..,..,..,..,..,..,..,..,7.548605223,..,..,..,..,8.486175792,..,..,..,9.088287413,..
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,18.036,17.597,17.09,16.522,15.903,15.24,14.539,13.815,13.085,12.367,11.68,11.039,10.451,9.921,9.454,9.052,8.716,8.432,8.19,..,..
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,556.8363181,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2790.726615,..
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,98.94999695,..,..,..,..,..,..,..,..,..,98.94999695,..,..,..,98.94999695,..,..,..,..,..
Antigua and Barbuda,ATG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13,12.7,12.4,12,11.5,11,10.6,10.1,9.6,9.1,8.7,8.2,7.8,7.4,7.1,6.8,6.5,6.2,6,5.8,..
Antigua and Barbuda,ATG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.646539079,..,..,..,..,..,..,..,..,..,6.8074578,..,..,..,..,5.208894895,..,..,..,5.37279775,..
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.216,6.124,6.051,5.999,5.967,5.955,5.96,5.976,5.999,6.026,6.055,6.085,6.116,6.151,6.188,6.227,6.27,6.316,6.366,..,..
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,1.93,..,3.6,3.55,3.61,3.01,2.89,..,..,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,10871.00571,10367.31961,10401.44941,10799.44888,11448.53652,12557.08541,13997.66593,15623.25065,16043.54217,14160.07228,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16672.74424,17112.82113,..
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,97.1933136,..,..,..,..,98.6108017,..,..,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,..,99.0038681,..,..
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,98.91665649,..,..,..,..,99.44608307,..,..,99.58428955,99.29863739,99.62824249,99.37586975,99.55132294,99.29670715,99.55970001,99.50270844,..,99.50552368,..,..
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.5,16.9,16.4,15.8,15.3,14.8,14.4,14,13.7,13.3,12.9,12.4,11.9,11.3,10.8,10.2,9.7,9.2,8.7,8.2,..
Argentina,ARG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.992526117,..,..,..,..,..,..,..,..,..,5.907905136,..,..,..,..,6.212450527,..,..,..,5.709043309,..
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.845,7.83,7.815,7.802,7.788,7.775,7.762,7.749,7.735,7.722,7.708,7.694,7.68,7.665,7.651,7.638,7.626,7.616,7.609,..,..
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.1,..,..,..,..,4,..,..,..,..,4.5,4.39,4.59,4.78,4.84,4.96,4.95,4.99,..,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7708.100996,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,..
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,99.40016174,..,..,..,..,..,..,..,..,..,99.74440765,..,..,..,..,..,99.73606873,..,..,..
Armenia,ARM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,99.80728149,..,..,..,..,..,..,..,..,..,99.84739685,..,..,..,..,..,99.84702301,..,..,..
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27,25.8,24.6,23.5,22.3,21.3,20.2,19.2,18.3,17.4,16.5,15.7,14.9,14.2,13.5,12.8,12.2,11.6,11,10.5,..
Armenia,ARM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.734618753,..,..,..,..,..,..,..,..,..,4.754836876,..,..,..,..,4.417689703,..,..,..,4.677751175,..
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.575,8.612,8.697,8.824,8.986,9.168,9.346,9.502,9.621,9.699,9.739,9.753,9.761,9.774,9.796,9.823,9.849,9.862,9.857,..,..
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.44,5.03,4.35,4.42,4.44,4.46,4.42,4.07,3.82,3.72,3.73,3.74,4.05,4.06,4.16,4.2,..,..,..,..,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,622.7421391,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.29125214,..,..,..,..,..,..,..,..,..,96.82263947,..,..,..,..,..,..,..,97.80741882,..,..
Aruba,ABW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,99.02641296,..,..,..,..,..,..,..,..,..,99.13841248,..,..,..,..,..,..,..,99.5,..,..
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.971,7.022,7.084,7.154,7.233,7.32,7.418,7.527,7.648,7.78,7.918,8.061,8.205,8.347,8.488,8.627,8.765,8.907,9.053,..,..
Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,..,..,..
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1,5,5,4.9,4.8,4.8,4.7,4.5,4.4,4.2,4,3.8,3.6,3.5,3.3,3.3,3.2,3.1,3.1,3.1,..
Australia,AUS,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.861133457,..,..,..,..,..,..,..,..,..,5.588615321,..,..,..,..,5.857024958,..,..,..,5.944592213,..
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.7,6.6,6.8,6.6,6.5,6.4,6.4,6.7,6.7,6.5,6.5,6.6,6.6,6.4,6.6,6.6,6.6,6.5,6.3,..,..
Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.04,3.95,3.93,3.97,4,3.9,3.93,..,3.82,3.77,3.78,3.79,3.75,3.74,3.79,3.82,3.84,..,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55060.3261,..
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.8,3.7,3.6,3.5,3.3,3.2,3.1,3,3,2.9,2.9,2.8,..
Austria,AUT,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.670495885,..,..,..,..,..,..,..,..,..,5.433251132,..,..,..,..,5.377562845,..,..,..,5.445314629,..
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.6,9.3,9.4,9.5,9.1,9.1,9,9,9,9.3,9.2,9.1,9.4,9.4,9.2,9.6,9.2,9.5,9.5,..,..
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.95,7.85,7.81,7.73,7.73,7.69,7.66,7.75,7.69,7.68,7.65,7.68,7.67,7.64,7.58,7.54,7.42,7.37,7.27,..,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47426.51196,51478.28526,50137.66278,..
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,99.59319305,..,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,..,..,..
Azerbaijan,AZE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,99.989151,..,99.95130157,99.95059967,99.94409943,99.93675232,99.95246887,99.9569931,99.94277954,99.94048309,99.93804932,..,..,..
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,61.1,57.3,53.7,50.3,47.2,44.4,41.8,39.3,37,34.8,32.6,30.6,28.6,26.8,25,23.4,21.8,20.5,19.3,18.2,..
Azerbaijan,AZE,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.182822256,..,..,..,..,..,..,..,..,..,4.801183976,..,..,..,..,4.373241295,..,..,..,3.763640552,..
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.8,5.6,5.7,6,6,6.2,6.2,6.3,6,5.9,5.9,5.9,5.9,5.8,5.8,5.7,5.8,5.8,5.8,..,..
Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.69,8.51,8.4,8.27,8.24,8.21,7.94,7.93,7.67,7.54,5.06,4.62,4.65,4.69,4.82,..,..,..,..,..,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.0974326,703.6838434,763.080638,883.6439965,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.9,14,14.1,14.3,14.4,14.4,14.3,14.2,13.9,13.6,13.3,13.1,12.8,12.5,12.3,12,11.7,11.4,11.1,10.9,..
"Bahamas, The",BHS,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.7708854,..,..,..,..,..,..,..,..,..,11.98064206,..,..,..,..,12.45352542,..,..,..,13.85576891,..
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.831,5.909,5.989,6.071,6.153,6.233,6.31,6.383,6.451,6.513,6.566,6.606,6.634,6.651,6.661,6.671,6.689,6.72,6.771,..,..
"Bahamas, The",BHS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.5,3.4,3.400000095,3.4,3.4,..,3.2,3.2,3.2,3.2,2.92,2.9,2.86,2.85,2.76,2.83,..,2.96,..,..,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,27097.61081,27486.23677,28866.80101,28327.27087,28395.92466,30278.36692,30713.70528,31472.09897,30627.23863,28552.19048,28443.40766,28006.37972,29485.62093,28783.55412,29980.06114,31295.06208,31562.63974,32718.6381,33767.50337,34863.7421,..
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,86.54873657,..,..,..,..,..,..,..,..,90.97740173,..,..,..,..,..,97.06668091,97.40389252,97.46418762,..,..
Bahrain,BHR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,97.02471161,..,..,..,..,..,..,..,..,95.45446777,..,..,..,..,..,99.48030853,99.59822083,99.68720245,..,..
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,10.8,10.3,10,9.7,9.4,9.1,8.8,8.4,8,7.6,7.3,7,6.8,6.7,6.6,6.5,6.3,6.2,6.1,5.9,..
Bahrain,BHR,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,11.91993069,..,..,..,..,..,..,..,..,..,10.50581992,..,..,..,..,9.96066556,..,..,..,8.892317027,..
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.835,2.763,2.688,2.615,2.545,2.483,2.43,2.388,2.357,2.337,2.327,2.324,2.326,2.331,2.337,2.346,2.355,2.368,2.385,..,..
Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.75,2.82,2.86,2.81,2.81,2.81,2.74,2.74,1.97,1.9,1.77,1.7,2.08,2.08,2.03,1.95,1.89,1.74,..,..,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,13636.39623,12868.26916,13049.80322,14222.0368,15846.54414,17959.25544,19307.60966,20976.54353,23066.53376,19355.90467,20722.13729,22514.23795,23654.35139,24744.29696,24989.40012,22634.11865,22608.48428,23742.98502,23991.05668,23503.97713,..
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,47.48550034,..,..,..,..,..,46.66360092,..,..,..,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,..
Bangladesh,BGD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,63.62273026,..,..,..,..,..,61.87281036,..,..,..,77.98499298,77.83290863,85.52715302,85.55473328,87.88877106,92.24265289,92.95075989,93.29644012,94.86242676,..
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,63.4,60.3,57.3,54.6,52,49.5,47.1,44.8,42.6,40.5,38.6,36.8,35.1,33.5,32.1,30.6,29.3,28,26.7,25.6,..
Bangladesh,BGD,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.640889378,..,..,..,..,..,..,..,..,..,7.590402851,..,..,..,..,7.488485298,..,..,..,7.131492663,..
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.883,6.717,6.574,6.444,6.322,6.205,6.092,5.987,5.892,5.807,5.734,5.673,5.625,5.589,5.565,5.549,5.539,5.533,5.529,..,..
Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,0.3,0.34,..,..,0.3,..,..,..,..,..,0.6,..,..,0.6,0.77,0.79,..,..,..,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,418.0689683,415.0344266,413.0802546,446.3106592,475.2919198,499.4619402,509.6401429,558.0518603,634.9870565,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.913699,1698.350394,1855.739824,..
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,99.59999847,..,..,..,..,..,..,..,..,..,99.59999847,..,..,..,..,..,..
Barbados,BRB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,99.90000153,..,..,..,..,..,..,..,..,..,99.90000153,..,..,..,..,..,..
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.7,13.9,14.1,14.3,14.4,14.4,14.3,14.2,14,13.9,13.8,13.7,13.6,13.5,13.3,13,12.7,12.4,12.1,11.7,..
Barbados,BRB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.423783727,..,..,..,..,..,..,..,..,..,4.902131197,..,..,..,..,4.841707133,..,..,..,4.309227264,..
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.553,7.609,7.677,7.753,7.835,7.921,8.009,8.099,8.19,8.279,8.368,8.454,8.54,8.625,8.708,8.789,8.865,8.936,9.004,..,..
Barbados,BRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,7.3,7.3,6.7,6.6,..,7.6,6.8,6.76,..,6.34,6.34,5.93,5.9,5.89,5.97,..,..,..
