"Year","Country.of.origin","Country.of.origin..ISO.","Country.of.asylum","Country.of.asylum..ISO.","Refugees.under.UNHCR.s.mandate","Asylum.seekers","IDPs.of.concern.to.UNHCR","Venezuelans.displaced.abroad","Stateless.persons","Others.of.concern"
2011,"Iraq","IRQ","-","-",1428306,24485,1332382,NA,0,7213
2011,"Somalia","SOM","-","-",1077038,31240,1356845,NA,0,51
2011,"Sudan","SDN","-","-",500005,31447,2422520,NA,0,0
2011,"Syrian Arab Rep.","SYR","-","-",19931,14441,0,NA,0,14110
2012,"Afghanistan","AFG","-","-",2586132,62304,486298,NA,0,880468
2012,"Iraq","IRQ","-","-",746204,24239,1131810,NA,0,0
2012,"Somalia","SOM","-","-",1136710,33680,1132963,NA,0,38
2012,"Sudan","SDN","-","-",568935,21521,1873300,NA,0,0
2012,"Syrian Arab Rep.","SYR","-","-",729012,26016,2016500,NA,0,6900
2013,"Afghanistan","AFG","-","-",2556483,75284,631286,NA,0,275817
2013,"Iraq","IRQ","-","-",401461,43145,954128,NA,0,17
2013,"Somalia","SOM","-","-",1121760,35665,1133000,NA,0,1056
2013,"Sudan","SDN","-","-",648936,28378,1873300,NA,0,0
2013,"Syrian Arab Rep.","SYR","-","-",2468323,41019,6520800,NA,0,9400
2014,"Afghanistan","AFG","-","-",2596259,85407,805409,NA,0,201361
2014,"Iraq","IRQ","-","-",369960,103724,3596356,NA,0,3307
2014,"Somalia","SOM","-","-",1106430,49063,1133000,NA,0,801
2014,"Sudan","SDN","-","-",665956,36027,2192830,NA,0,5
2014,"Syrian Arab Rep.","SYR","-","-",3887490,79648,7632500,NA,0,1992
2015,"Afghanistan","AFG","-","-",2666294,258862,1174306,NA,0,150369
2015,"Iraq","IRQ","-","-",264086,237168,4403287,NA,0,3598
2015,"Somalia","SOM","-","-",1123144,56664,1133000,NA,0,828
2015,"Sudan","SDN","-","-",627080,42909,3218234,NA,0,20
2015,"Syrian Arab Rep.","SYR","-","-",4873236,245857,6563462,NA,0,8247
2016,"Afghanistan","AFG","-","-",2501447,369072,1797551,NA,0,114221
2016,"Iraq","IRQ","-","-",316056,278367,3604285,NA,0,15778
2016,"Somalia","SOM","-","-",1012320,60491,1562554,NA,0,290
2016,"Sudan","SDN","-","-",650391,50469,2225557,NA,0,125
2016,"Syrian Arab Rep.","SYR","-","-",5524511,184337,6325978,NA,0,8516
2017,"Afghanistan","AFG","-","-",2624265,333986,1837079,NA,0,448040
2017,"Iraq","IRQ","-","-",362536,272627,2615988,NA,0,11227
2017,"Somalia","SOM","-","-",986386,58320,2116705,NA,0,230
2017,"Sudan","SDN","-","-",694556,52191,1997022,NA,0,19
2017,"Syrian Arab Rep.","SYR","-","-",6310498,147179,6150005,NA,0,8596
2018,"Afghanistan","AFG","-","-",2681267,310107,2106893,NA,0,489859
2018,"Iraq","IRQ","-","-",372332,256716,1802832,NA,0,7901
2018,"Somalia","SOM","-","-",949637,55852,2648001,NA,0,130
2018,"Sudan","SDN","-","-",724787,67433,1864195,NA,0,0
2018,"Syrian Arab Rep.","SYR","-","-",6654374,139576,6183920,NA,0,8453
2019,"Afghanistan","AFG","-","-",2727556,255244,2553390,NA,0,450675
2019,"Iraq","IRQ","-","-",336274,303429,1414632,NA,0,31760
2019,"Somalia","SOM","-","-",901596,54905,2648000,NA,0,160
2019,"Sudan","SDN","-","-",734780,74065,1885782,NA,0,7
2019,"Syrian Arab Rep.","SYR","-","-",6615249,119001,6146994,NA,0,7612
2020,"Afghanistan","AFG","-","-",2729148,246228,2647358,NA,0,90934
2020,"Iraq","IRQ","-","-",325485,292780,1381332,NA,0,31245
2020,"Somalia","SOM","-","-",910654,55285,2648000,NA,0,119
2020,"Sudan","SDN","-","-",771540,70538,1885782,NA,0,2323
2020,"Syrian Arab Rep.","SYR","-","-",6596627,107621,6734787,NA,0,8345
